taxon	adjust.p	fc.level1	color	log10P	Species	name
taxon100	7.89189084452838e-11	0.689950049220385	sig	10.1028189302555	Parabacteroides_johnsonii	Parabacteroides_johnsonii
taxon122	0.298078768884572	0.168131410335403	nonsig	0.525668956153352	Clostridia_bacterium_UC5.1-1D1	
taxon124	0.484896305871304	-0.144426822616296	nonsig	0.314351124496188	Clostridiales_bacterium_1_7_47FAA	
taxon126	0.0117900978981484	0.405814161628612	sig	1.92848258875995	Flavonifractor_plautii	Flavonifractor_plautii
taxon138	0.368067340333728	-0.938347847497086	nonsig	0.434072717033403	Clostridium_perfringens	
taxon139	0.0467631237604438	0.733697956989542	sig	1.33009648582048	Clostridium_phoceensis	Clostridium_phoceensis
taxon146	0.00187446016491486	0.564509716136502	sig	2.72712378455237	Hungatella_hathewayi	Hungatella_hathewayi
taxon152	0.000175395913362686	1.27645831416851	sig	3.75598052969695	Eubacterium_sp._3_1_31	Eubacterium_sp._3_1_31
taxon171	0.025796019843018	-0.79368083485901	sig	1.58844729766314	Blautia_hansenii	Blautia_hansenii
taxon174	1.0182743537257e-10	1.08728011338828	sig	9.9921351942425	Blautia_obeum	Blautia_obeum
taxon177	1.70974345792274e-13	-1.78300198279471	sig	12.7670690493545	Blautia_sp._KLE_1732	Blautia_sp._KLE_1732
taxon178	0.0145560697585073	-0.900732962721913	sig	1.83695587176798	[Ruminococcus]_gnavus	[Ruminococcus]_gnavus
taxon179	0.00121248176575768	1.09932354970338	sig	2.91632478393425	[Ruminococcus]_torques	[Ruminococcus]_torques
taxon183	0.160265664918237	-0.612058334356074	nonsig	0.795159510295539	Coprococcus_sp._HPP0048	
taxon187	3.26970164625055e-05	-4.60638563907197	sig	4.48549187403651	Eisenbergiella_tayi	Eisenbergiella_tayi
taxon193	0.533215114244732	0.119555127220561	nonsig	0.273097548792961	[Clostridium]_bolteae	
taxon195	0.0018256384676945	0.456126565051816	sig	2.73858522188979	[Clostridium]_citroniae	[Clostridium]_citroniae
taxon199	0.687333749301831	0.100768496741628	nonsig	0.162832330940785	[Clostridium]_symbiosum	
taxon207	0.00956103071614343	0.483465625596414	sig	2.01949528657283	Tyzzerella_nexilis	Tyzzerella_nexilis
taxon208	0.32618937337064	0.178468883013852	nonsig	0.486530191553459	[Clostridium]_lactatifermentans	
taxon211	0.509446939577746	-0.104180674465851	nonsig	0.292901042371183	Oscillibacter_sp._KLE_1745	
taxon216	3.0725691805659e-08	-0.95796337868609	sig	7.512498329955	Ruminococcaceae_bacterium_D16	Ruminococcaceae_bacterium_D16
taxon218	0.00927134306112993	0.513991594007758	sig	2.03285734872629	Anaerotruncus_colihominis	Anaerotruncus_colihominis
taxon233	0.129293466464224	-0.398260076344568	nonsig	0.888423420596994	Ruthenibacterium_lactatiformans	
taxon238	0.432077841807072	0.249349439359993	nonsig	0.364438004986307	Coprobacillus_sp._D6	
taxon241	0.954703905698553	-0.0109377757479355	nonsig	0.0201313007305199	[Clostridium]_innocuum	
taxon252	0.0145560697585073	-7.44712118454725	sig	1.83695587176798	Parasutterella_excrementihominis	Parasutterella_excrementihominis
taxon264	0.0031066904103019	2.93204745344866	sig	2.50770202315205	Escherichia_coli	Escherichia_coli
taxon32	3.88170936287402e-05	0.759882295048851	sig	4.4109769848738	Eggerthella_lenta	Eggerthella_lenta
taxon347	0.32621407590736	-5.74674627712315	nonsig	0.486497303390762	[Clostridium]_hylemonae	
taxon36	0.380761447246882	-0.893679664537617	nonsig	0.419347031126728	Bacteroides_cellulosilyticus	
taxon37	0.000457912863693344	0.860324123830054	sig	3.33921715609544	Bacteroides_coprocola	Bacteroides_coprocola
taxon38	0.0104536416812855	-0.409927510057014	sig	1.98073239026347	Bacteroides_coprophilus	Bacteroides_coprophilus
taxon40	0.074687038184834	-0.256287307598466	sig	1.12675476275283	Bacteroides_faecichinchillae	Bacteroides_faecichinchillae
taxon41	0.0115022405121437	0.308912667775346	sig	1.93921755553461	Bacteroides_fluxus	Bacteroides_fluxus
taxon42	0.580312756868742	-0.190929337512003	nonsig	0.236337882344644	Bacteroides_fragilis	
taxon44	0.00187125801183852	0.600967175910643	sig	2.7278663272021	Bacteroides_oleiciplenus	Bacteroides_oleiciplenus
taxon45	0.315160740224395	0.169606272367992	nonsig	0.501467888155343	Bacteroides_ovatus	
taxon46	0.682657860927492	0.169734849398401	nonsig	0.165796904430417	Bacteroides_plebeius	
taxon48	0.310360325533624	0.117267756464167	nonsig	0.50813380127688	Bacteroides_salyersiae	
taxon49	0.00969092657502247	0.566958268423953	sig	2.01363469692435	Bacteroides_stercoris	Bacteroides_stercoris
taxon50	0.214048849081654	0.372738373772159	nonsig	0.669487102979545	Bacteroides_thetaiotaomicron	
taxon52	0.573948010891483	-0.0795207187020845	nonsig	0.241127444893871	Bacteroides_uniformis	
taxon53	0.00956103071614343	0.470220157494943	sig	2.01949528657283	Bacteroides_vulgatus	Bacteroides_vulgatus
taxon54	4.094801299624e-08	-1.45403345140603	sig	7.38776716754716	Barnesiella_intestinihominis	Barnesiella_intestinihominis
taxon62	0.213626419799844	-0.467265278249072	nonsig	0.670345037861898	Odoribacter_splanchnicus	
taxon75	0.00543591158000539	0.525020235138547	sig	2.26472761607274	Prevotella_copri	Prevotella_copri
taxon83	0.00137459459513097	0.536440699817516	sig	2.86182536805784	Prevotella_sp._109	Prevotella_sp._109
taxon89	0.00187519049377419	1.37564948107224	sig	2.72695460730016	Prevotella_stercorea	Prevotella_stercorea
taxon91	1.55756407771435e-10	-1.2313048611286	sig	9.80755407755784	Alistipes_finegoldii	Alistipes_finegoldii
taxon94	0.0657237724051371	-0.38278871887783	sig	1.18227751693942	Alistipes_obesi	Alistipes_obesi
taxon95	0.00360823275273523	-1.59481286127213	sig	2.44270545561783	Alistipes_putredinis	Alistipes_putredinis
taxon97	5.3611267739756e-06	0.56555106644544	sig	5.27074392293939	Alistipes_shahii	Alistipes_shahii
taxon98	7.89189084452838e-11	0.940985577717053	sig	10.1028189302555	Parabacteroides_distasonis	Parabacteroides_distasonis
taxon99	0.000520894910367741	-1.89522138332175	sig	3.28324988601135	Parabacteroides_goldsteinii	Parabacteroides_goldsteinii
